path,extension,language,lines,binary
RELEASING/release-notes-4-1/media/slack_modal.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/heatmap.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/csv_modal_4.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/excel_modal_3.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/excel_modal_4.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/columnar_modal_3.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/columnar_modal_1.png,.png,Unknown (.png),0,True
RESOURCES/STANDARD_ROLES.md,.md,Markdown,212,False
RESOURCES/INTHEWILD.md,.md,Markdown,195,False
RESOURCES/FEATURE_FLAGS.md,.md,Markdown,78,False
docker/docker-healthcheck.sh,.sh,Shell,18,False
docker/docker-frontend.sh,.sh,Shell,40,False
docker/pip-install.sh,.sh,Shell,58,False
docker/apt-install.sh,.sh,Shell,43,False
docker/docker-bootstrap.sh,.sh,Shell,81,False
docker/frontend-mem-nag.sh,.sh,Shell,42,False
docker/docker-init.sh,.sh,Shell,74,False
docker/README.md,.md,Markdown,50,False
docker/.env,(none),Dotfile/Config,61,False
docker/docker-entrypoint-initdb.d/examples-init.sh,.sh,Shell,30,False
docker/docker-entrypoint-initdb.d/cypress-init.sh,.sh,Shell,25,False
docker/entrypoints/docker-ci.sh,.sh,Shell,23,False
docker/entrypoints/run-server.sh,.sh,Shell,35,False
docker/nginx/nginx.conf,.conf,Config,75,False
docker/nginx/templates/superset.conf.template,.template,Unknown (.template),50,False
docker/pythonpath_dev/superset_config.py,.py,Python,119,False
docker/pythonpath_dev/superset_config_local.example,.example,Unknown (.example),25,False
docker/pythonpath_dev/.gitignore,(none),Dotfile/Config,22,False
docker/superset-websocket/config.json,.json,JSON,22,False
docs/.prettierrc,(none),Dotfile/Config,5,False
docs/yarn.lock,.lock,Unknown (.lock),11618,False
docs/.eslintrc.js,.js,JavaScript,47,False
docs/.gitignore,(none),Dotfile/Config,19,False
docs/docusaurus.config.ts,.ts,TypeScript,364,False
docs/sidebars.js,.js,JavaScript,99,False
docs/.nvmrc,(none),Dotfile/Config,1,False
docs/tsconfig.json,.json,JSON,13,False
docs/babel.config.js,.js,JavaScript,22,False
docs/README.md,.md,Markdown,20,False
docs/package.json,.json,JSON,66,False
docs/data/countries.json,.json,JSON,205,False
docs/docs/api.mdx,.mdx,Markdown,30,False
docs/docs/faq.mdx,.mdx,Markdown,204,False
docs/docs/quickstart.mdx,.mdx,Markdown,60,False
docs/docs/configuration/async-queries-celery.mdx,.mdx,Markdown,80,False
docs/docs/configuration/timezones.mdx,.mdx,Markdown,36,False
docs/docs/configuration/country-map-tools.mdx,.mdx,Markdown,30,False
docs/docs/configuration/networking-settings.mdx,.mdx,Markdown,96,False
docs/docs/configuration/importing-exporting-datasources.mdx,.mdx,Markdown,93,False
docs/docs/configuration/sql-templating.mdx,.mdx,Markdown,411,False
docs/docs/configuration/databases.mdx,.mdx,Markdown,1267,False
docs/docs/configuration/configuring-superset.mdx,.mdx,Markdown,417,False
docs/docs/configuration/cache.mdx,.mdx,Markdown,110,False
docs/docs/configuration/alerts-reports.mdx,.mdx,Markdown,334,False
docs/docs/configuration/event-logging.mdx,.mdx,Markdown,48,False
docs/docs/contributing/contributing.mdx,.mdx,Markdown,89,False
docs/docs/contributing/development.mdx,.mdx,Markdown,685,False
docs/docs/contributing/guidelines.mdx,.mdx,Markdown,180,False
docs/docs/contributing/misc.mdx,.mdx,Markdown,39,False
docs/docs/contributing/howtos.mdx,.mdx,Markdown,462,False
docs/docs/contributing/resources.mdx,.mdx,Markdown,80,False
docs/docs/installation/architecture.mdx,.mdx,Markdown,44,False
docs/docs/installation/installation-methods.mdx,.mdx,Markdown,31,False
docs/docs/installation/docker-compose.mdx,.mdx,Markdown,207,False
docs/docs/installation/docker-builds.mdx,.mdx,Markdown,140,False
docs/docs/installation/kubernetes.mdx,.mdx,Markdown,348,False
docs/docs/installation/pypi.mdx,.mdx,Markdown,113,False
docs/docs/installation/upgrading-superset.mdx,.mdx,Markdown,34,False
docs/docs/security/cves.mdx,.mdx,Markdown,89,False
docs/docs/security/security.mdx,.mdx,Markdown,266,False
docs/docs/using-superset/exploring-data.mdx,.mdx,Markdown,221,False
docs/docs/using-superset/creating-your-first-dashboard.mdx,.mdx,Markdown,153,False
docs/docs/using-superset/issue-codes.mdx,.mdx,Markdown,221,False
docs/i18n/en/code.json,.json,JSON,420,False
docs/i18n/en/docusaurus-plugin-content-blog/options.json,.json,JSON,14,False
docs/i18n/en/docusaurus-plugin-content-docs/current.json,.json,JSON,42,False
docs/i18n/en/docusaurus-theme-classic/footer.json,.json,JSON,6,False
docs/i18n/en/docusaurus-theme-classic/navbar.json,.json,JSON,46,False
docs/src/intro_header.txt,.txt,Text,4,False
docs/src/utils.js,.js,JavaScript,20,False
docs/src/components/BlurredSection.tsx,.tsx,TypeScript,49,False
docs/src/components/InteractiveERDSVG.jsx,.jsx,JavaScript,35,False
docs/src/components/SectionHeader.tsx,.tsx,TypeScript,114,False
docs/src/fonts/Roboto-Regular.woff,.woff,Unknown (.woff),0,True
docs/src/fonts/Roboto-Bold.woff,.woff,Unknown (.woff),0,True
docs/src/fonts/Roboto-Regular.woff2,.woff2,Unknown (.woff2),0,True
docs/src/fonts/Roboto-Bold.woff2,.woff2,Unknown (.woff2),0,True
docs/src/pages/index.tsx,.tsx,TypeScript,723,False
docs/src/pages/community.tsx,.tsx,TypeScript,258,False
docs/src/pages/markdown-page.md,.md,Markdown,21,False
docs/src/resources/data.js,.js,JavaScript,144,False
docs/src/styles/main.less,.less,LESS,216,False
docs/src/styles/antd-theme.less,.less,LESS,27,False
docs/src/styles/custom.css,.css,CSS,76,False
docs/src/theme/Root.js,.js,JavaScript,105,False
docs/static/.asf.yaml,.yaml,YAML,20,False
docs/static/.nojekyll,(none),Dotfile/Config,0,False
docs/static/.htaccess,(none),Dotfile/Config,60,False
docs/static/img/pypi.png,.png,Unknown (.png),0,True
docs/static/img/dashboard.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/superset-mark-dark.svg,.svg,Unknown (.svg),20,False
docs/static/img/docker-compose.png,.png,Unknown (.png),0,True
docs/static/img/root-cert-example.png,.png,Unknown (.png),0,True
docs/static/img/superset-logo-horiz-apache.svg,.svg,Unknown (.svg),52,False
docs/static/img/k8s.png,.png,Unknown (.png),0,True
docs/static/img/explore_ui.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/calendar-icon.svg,.svg,Unknown (.svg),17,False
docs/static/img/hero-screenshot.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/grid-background.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/undraw_docusaurus_mountain.svg,.svg,Unknown (.svg),186,False
docs/static/img/undraw_docusaurus_react.svg,.svg,Unknown (.svg),185,False
docs/static/img/superset-logo-horiz.svg,.svg,Unknown (.svg),43,False
docs/static/img/explore.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/dashboard_card_view.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/sql_lab.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/data-point.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/erd.svg,.svg,Unknown (.svg),1,False
docs/static/img/github-dark.png,.png,Unknown (.png),0,True
docs/static/img/applitools.png,.png,Unknown (.png),0,True
docs/static/img/check-icon.svg,.svg,Unknown (.svg),19,False
docs/static/img/docker-compose.webp,.webp,Unknown (.webp),0,True
docs/static/img/logo.svg,.svg,Unknown (.svg),17,False
docs/static/img/github.png,.png,Unknown (.png),0,True
docs/static/img/favicon.ico,.ico,Unknown (.ico),0,True
docs/static/img/roadmap.png,.png,Unknown (.png),0,True
docs/static/img/superset-logo-horiz-dark.svg,.svg,Unknown (.svg),43,False
docs/static/img/undraw_docusaurus_tree.svg,.svg,Unknown (.svg),17,False
docs/static/img/community/coffee-symbol.png,.png,Unknown (.png),0,True
docs/static/img/community/line.png,.png,Unknown (.png),0,True
docs/static/img/community/note-symbol.png,.png,Unknown (.png),0,True
docs/static/img/community/writing-symbol.png,.png,Unknown (.png),0,True
docs/static/img/community/blur.png,.png,Unknown (.png),0,True
docs/static/img/community/slack-symbol.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/community/email-symbol.png,.png,Unknown (.png),0,True
docs/static/img/community/stackoverflow-symbol.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/community/github-symbol.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/custom-plugins/plugin-9-mainpreset-register.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-3-yeoman-description.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-2-yeoman-package-name.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-12-console-logs.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-7-yeoman-files.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-8-package-json.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-4-yeoman-component-type.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-6-yeoman-badges.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-9-mainpreset-import.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-1-yeoman-select.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-5-yeoman-timeseries.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-11-explore-view.png,.png,Unknown (.png),0,True
docs/static/img/custom-plugins/plugin-10-hello-thumbnail.png,.png,Unknown (.png),0,True
docs/static/img/databases/msql.png,.png,Unknown (.png),0,True
docs/static/img/databases/ibmdb2.png,.png,Unknown (.png),0,True
docs/static/img/databases/postgresql.svg,.svg,Unknown (.svg),22,False
docs/static/img/databases/exasol.png,.png,Unknown (.png),0,True
docs/static/img/databases/db2.png,.png,Unknown (.png),0,True
docs/static/img/databases/mysql.png,.png,Unknown (.png),0,True
docs/static/img/databases/mssql.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/databases/apache-impala.png,.png,Unknown (.png),0,True
docs/static/img/databases/mysql.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/databases/presto-og.png,.png,Unknown (.png),0,True
docs/static/img/databases/redshift.png,.png,Unknown (.png),0,True
docs/static/img/databases/sqlite.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/databases/csv.svg,.svg,Unknown (.svg),23,False
docs/static/img/databases/apache-drill.png,.png,Unknown (.png),0,True
docs/static/img/databases/mariadb.png,.png,Unknown (.png),0,True
docs/static/img/databases/google-biquery.png,.png,Unknown (.png),0,True
docs/static/img/databases/presto.png,.png,Unknown (.png),0,True
docs/static/img/databases/denodo.png,.png,Unknown (.png),0,True
docs/static/img/databases/greenplum.jpeg,.jpeg,Unknown (.jpeg),0,True
docs/static/img/databases/snowflake.svg,.svg,Unknown (.svg),7,False
docs/static/img/databases/ibm-db2.svg,.svg,Unknown (.svg),51,False
docs/static/img/databases/databend.png,.png,Unknown (.png),0,True
docs/static/img/databases/timescale.png,.png,Unknown (.png),0,True
docs/static/img/databases/monet.png,.png,Unknown (.png),0,True
docs/static/img/databases/rockset.png,.png,Unknown (.png),0,True
docs/static/img/databases/oracle-logo.png,.png,Unknown (.png),0,True
docs/static/img/databases/trino2.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/databases/druid.png,.png,Unknown (.png),0,True
docs/static/img/databases/oracle.png,.png,Unknown (.png),0,True
docs/static/img/databases/yugabyte.png,.png,Unknown (.png),0,True
docs/static/img/databases/monet-db.png,.png,Unknown (.png),0,True
docs/static/img/databases/starrocks.png,.png,Unknown (.png),0,True
docs/static/img/databases/google-big-query.svg,.svg,Unknown (.svg),7,False
docs/static/img/databases/sap-hana.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/databases/firebolt.png,.png,Unknown (.png),0,True
docs/static/img/databases/greenplum.png,.png,Unknown (.png),0,True
docs/static/img/databases/hologres.png,.png,Unknown (.png),0,True
docs/static/img/databases/postgresql.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/databases/clickhouse.png,.png,Unknown (.png),0,True
docs/static/img/databases/sqlite.png,.png,Unknown (.png),0,True
docs/static/img/databases/sap-hana.png,.png,Unknown (.png),0,True
docs/static/img/databases/apache-kylin.png,.png,Unknown (.png),0,True
docs/static/img/databases/apache-druid.png,.png,Unknown (.png),0,True
docs/static/img/databases/tdengine.png,.png,Unknown (.png),0,True
docs/static/img/databases/netezza.png,.png,Unknown (.png),0,True
docs/static/img/databases/mssql-server.png,.png,Unknown (.png),0,True
docs/static/img/databases/trino.png,.png,Unknown (.png),0,True
docs/static/img/databases/doris.png,.png,Unknown (.png),0,True
docs/static/img/databases/amazon-athena.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/databases/databricks.png,.png,Unknown (.png),0,True
docs/static/img/databases/google-sheets.svg,.svg,Unknown (.svg),151,False
docs/static/img/databases/apache-pinot.svg,.svg,Unknown (.svg),32,False
docs/static/img/databases/ydb.svg,.svg,Unknown (.svg),20,False
docs/static/img/databases/dremio.png,.png,Unknown (.png),0,True
docs/static/img/databases/snowflake.png,.png,Unknown (.png),0,True
docs/static/img/databases/amazon-redshift.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/databases/sybase.png,.png,Unknown (.png),0,True
docs/static/img/databases/couchbase.svg,.svg,Unknown (.svg),17,False
docs/static/img/databases/vertica.png,.png,Unknown (.png),0,True
docs/static/img/databases/pinot.png,.png,Unknown (.png),0,True
docs/static/img/databases/oceanbase.svg,.svg,Unknown (.svg),61,False
docs/static/img/databases/firebird.png,.png,Unknown (.png),0,True
docs/static/img/databases/apache-hive.svg,.svg,Unknown (.svg),67,False
docs/static/img/databases/oraclelogo.png,.png,Unknown (.png),0,True
docs/static/img/databases/teradata.png,.png,Unknown (.png),0,True
docs/static/img/databases/postgresql.png,.png,Unknown (.png),0,True
docs/static/img/databases/apache-druid.jpeg,.jpeg,Unknown (.jpeg),0,True
docs/static/img/features/powerful-yet-easy.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/features/rich-visualizations.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/features/modern-architecture.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/features/modern-databases.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/screenshots/gallery.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/screenshots/explore.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/screenshots/sql_lab.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/screenshots/slack_dash.jpg,.jpg,Unknown (.jpg),0,True
docs/static/img/tutorial/advanced_analytics_base.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/save_tutorial_table.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/tutorial_save_slice.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/no_filter_on_time_filter.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/average_aggregate_for_cost.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/markdown.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/tutorial_table.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/parse_dates_column.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/tutorial_03a_database_connection_string_link.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/tutorial_dashboard_access.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/dashboard.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/tutorial_launch_explore.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/edit-record.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/annotation.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/filter_on_origin_country.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/csv_to_database_configuration.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/annotation_settings.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/tutorial_line_chart.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/select_dates_pivot_table.png,.png,Unknown (.png),0,True
docs/static/img/tutorial/resample.png,.png,Unknown (.png),0,True
